num_expediente,hora,cod_distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,x_utm,y_utm,mes,dia
2021S000011,8:05:00,11.0,alcance,despejado,autobús,conductor,adulto,hombre,leve,437151.11,4471672.377,1,4
2021S000011,8:05:00,11.0,alcance,despejado,turismo,conductor,adulto,hombre,sin asistencia,437151.11,4471672.377,1,4
2021S000012,1:30:00,10.0,choque contra obstáculo fijo,despejado,turismo,conductor,adolescente,hombre,sin asistencia,438571.702,4474381.856,1,4
2021S000012,1:30:00,10.0,choque contra obstáculo fijo,despejado,turismo,pasajero,adolescente,hombre,sin asistencia,438571.702,4474381.856,1,4
2021S000012,1:30:00,10.0,choque contra obstáculo fijo,despejado,turismo,pasajero,adolescente,mujer,sin asistencia,438571.702,4474381.856,1,4
2021S000012,1:30:00,10.0,choque contra obstáculo fijo,despejado,turismo,pasajero,joven,mujer,sin asistencia,438571.702,4474381.856,1,4
2021S000014,9:00:00,11.0,colisión fronto-lateral,despejado,turismo,conductor,joven,hombre,sin asistencia,439905.28,4471702.071,1,4
2021S000014,9:00:00,11.0,colisión fronto-lateral,despejado,turismo,conductor,joven,hombre,sin asistencia,439905.28,4471702.071,1,4
2021S000015,6:30:00,21.0,choque contra obstáculo fijo,despejado,turismo,conductor,joven,hombre,sin asistencia,450712.069,4479999.011,1,4
2021S000015,6:30:00,21.0,choque contra obstáculo fijo,despejado,turismo,pasajero,adulto,mujer,sin asistencia,450712.069,4479999.011,1,4
2021S000016,9:25:00,16.0,choque contra obstáculo fijo,despejado,turismo,conductor,joven,hombre,sin asistencia,444779.433,4478405.92,1,4
2021S000017,11:30:00,6.0,alcance,despejado,turismo,conductor,joven,hombre,sin asistencia,440381.955,4478266.731,1,4
2021S000017,11:30:00,6.0,alcance,despejado,turismo,conductor,joven,mujer,sin asistencia,440381.955,4478266.731,1,4
2021S000017,11:30:00,6.0,alcance,despejado,turismo,pasajero,joven,hombre,sin asistencia,440381.955,4478266.731,1,4
2021S000017,11:30:00,6.0,alcance,despejado,turismo,pasajero,joven,hombre,sin asistencia,440381.955,4478266.731,1,4
2021S000017,11:30:00,6.0,alcance,despejado,turismo,pasajero,joven,mujer,sin asistencia,440381.955,4478266.731,1,4
2021S000017,11:30:00,6.0,alcance,despejado,turismo,pasajero,joven,mujer,sin asistencia,440381.955,4478266.731,1,4
2021S000018,12:30:00,17.0,choque contra obstáculo fijo,despejado,turismo,conductor,joven,mujer,sin asistencia,440193.015,4466108.357,1,4
2021S000021,22:57:00,16.0,choque contra obstáculo fijo,despejado,turismo,conductor,joven,hombre,sin asistencia,443943.78,4480747.147,1,4
2021S000021,22:57:00,16.0,choque contra obstáculo fijo,despejado,turismo,conductor,joven,hombre,sin asistencia,443943.78,4480747.147,1,4
2021S000021,22:57:00,16.0,choque contra obstáculo fijo,despejado,turismo,conductor,joven,hombre,sin asistencia,443943.78,4480747.147,1,4
2021S000021,22:57:00,16.0,choque contra obstáculo fijo,despejado,turismo,pasajero,niños,mujer,sin asistencia,443943.78,4480747.147,1,4
2021S000022,22:30:00,13.0,alcance,despejado,motocicleta hasta 125cc,conductor,adulto,hombre,leve,443855.424,4471732.492,1,4
2021S000022,22:30:00,13.0,alcance,despejado,turismo,conductor,joven,hombre,sin asistencia,443855.424,4471732.492,1,4
2021S000029,0:40:00,4.0,colisión fronto-lateral,despejado,todo terreno,conductor,joven,hombre,sin asistencia,441448.638,4475232.581,1,5
2021S000029,0:40:00,4.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,hombre,sin asistencia,441448.638,4475232.581,1,5
2021S000037,14:36:00,6.0,colisión lateral,despejado,turismo,conductor,joven,mujer,sin asistencia,439734.458,4480102.037,1,4
2021S000037,14:36:00,6.0,colisión lateral,despejado,turismo,conductor,joven,hombre,sin asistencia,439734.458,4480102.037,1,4
2021S000047,11:38:00,14.0,caída,despejado,bicicleta,conductor,adulto,hombre,leve,446426.917,4473586.644,1,4
2021S000050,12:32:00,11.0,choque contra obstáculo fijo,despejado,turismo,conductor,mayor,hombre,leve,435239.266,4468411.353,1,5
2021S000050,12:32:00,11.0,choque contra obstáculo fijo,despejado,turismo,pasajero,adulto,mujer,leve,435239.266,4468411.353,1,5
2021S000051,11:50:00,20.0,colisión fronto-lateral,despejado,turismo,conductor,joven,mujer,sin asistencia,451066.835,4475487.098,1,5
2021S000051,11:50:00,20.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,hombre,sin asistencia,451066.835,4475487.098,1,5
2021S000051,11:50:00,20.0,colisión fronto-lateral,despejado,turismo,pasajero,adulto,mujer,sin asistencia,451066.835,4475487.098,1,5
2021S000052,22:00:00,15.0,colisión lateral,despejado,motocicleta > 125cc,conductor,joven,hombre,leve,444685.075,4475854.055,1,4
2021S000052,22:00:00,15.0,colisión lateral,despejado,turismo,conductor,adulto,hombre,sin asistencia,444685.075,4475854.055,1,4
2021S000054,15:15:00,12.0,choque contra obstáculo fijo,despejado,furgoneta,conductor,adulto,hombre,sin asistencia,439920.248,4470560.593,1,5
2021S000054,15:15:00,12.0,choque contra obstáculo fijo,despejado,furgoneta,conductor,joven,hombre,sin asistencia,439920.248,4470560.593,1,5
2021S000055,15:50:00,10.0,colisión frontal,nublado,turismo,conductor,adulto,mujer,leve,436523.074,4473040.831,1,5
2021S000055,15:50:00,10.0,colisión frontal,nublado,turismo,conductor,adulto,mujer,sin asistencia,436523.074,4473040.831,1,5
2021S000056,16:15:00,8.0,alcance,despejado,turismo,conductor,joven,hombre,sin asistencia,439617.583,4481330.24,1,5
2021S000056,16:15:00,8.0,alcance,despejado,turismo,conductor,adulto,mujer,sin asistencia,439617.583,4481330.24,1,5
2021S000056,16:15:00,8.0,alcance,despejado,turismo,pasajero,adolescente,hombre,sin asistencia,439617.583,4481330.24,1,5
2021S000056,16:15:00,8.0,alcance,despejado,turismo,pasajero,adolescente,hombre,sin asistencia,439617.583,4481330.24,1,5
2021S000056,16:15:00,8.0,alcance,despejado,turismo,pasajero,adolescente,hombre,sin asistencia,439617.583,4481330.24,1,5
2021S000056,16:15:00,8.0,alcance,despejado,turismo,pasajero,adolescente,mujer,sin asistencia,439617.583,4481330.24,1,5
2021S000056,16:15:00,8.0,alcance,despejado,turismo,pasajero,niños,hombre,sin asistencia,439617.583,4481330.24,1,5
2021S000056,16:15:00,8.0,alcance,despejado,turismo,pasajero,mayor,hombre,sin asistencia,439617.583,4481330.24,1,5
2021S000057,16:40:00,7.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,hombre,sin asistencia,441050.589,4477267.321,1,5
2021S000057,16:40:00,7.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,mujer,sin asistencia,441050.589,4477267.321,1,5
2021S000058,17:15:00,6.0,atropello a persona,despejado,turismo,conductor,adulto,hombre,sin asistencia,439794.555,4480106.212,1,5
2021S000058,17:15:00,6.0,atropello a persona,despejado,turismo,peatón,niños,hombre,leve,439794.555,4480106.212,1,5
2021S000059,18:20:00,15.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,mujer,sin asistencia,444993.091,4476242.895,1,5
2021S000060,17:55:00,13.0,choque contra obstáculo fijo,despejado,furgoneta,conductor,joven,hombre,sin asistencia,443991.006,4469137.229,1,5
2021S000060,17:55:00,13.0,choque contra obstáculo fijo,despejado,turismo,conductor,adulto,hombre,sin asistencia,443991.006,4469137.229,1,5
2021S000060,17:55:00,13.0,choque contra obstáculo fijo,despejado,turismo,conductor,joven,hombre,sin asistencia,443991.006,4469137.229,1,5
2021S000061,20:40:00,16.0,colisión múltiple,despejado,camión rígido,conductor,joven,hombre,sin asistencia,445130.21,4480199.191,1,5
2021S000061,20:40:00,16.0,colisión múltiple,despejado,furgoneta,conductor,joven,hombre,sin asistencia,445130.21,4480199.191,1,5
2021S000061,20:40:00,16.0,colisión múltiple,despejado,turismo,conductor,adulto,hombre,sin asistencia,445130.21,4480199.191,1,5
2021S000061,20:40:00,16.0,colisión múltiple,despejado,turismo,conductor,joven,hombre,sin asistencia,445130.21,4480199.191,1,5
2021S000061,20:40:00,16.0,colisión múltiple,despejado,turismo,pasajero,adulto,hombre,sin asistencia,445130.21,4480199.191,1,5
2021S000062,18:00:00,4.0,caída,despejado,motocicleta hasta 125cc,conductor,adulto,hombre,leve,441571.293,4474642.05,1,5
2021S000063,21:30:00,13.0,colisión múltiple,despejado,turismo,conductor,joven,hombre,leve,442144.525,4470819.556,1,5
2021S000063,21:30:00,13.0,colisión múltiple,despejado,turismo,conductor,joven,hombre,sin asistencia,442144.525,4470819.556,1,5
2021S000063,21:30:00,13.0,colisión múltiple,despejado,turismo,conductor,adulto,hombre,leve,442144.525,4470819.556,1,5
2021S000064,22:30:00,1.0,alcance,despejado,turismo,conductor,adulto,hombre,sin asistencia,439780.658,4474927.251,1,5
2021S000064,22:30:00,1.0,alcance,despejado,turismo,conductor,adulto,mujer,sin asistencia,439780.658,4474927.251,1,5
2021S000067,23:10:00,1.0,colisión fronto-lateral,despejado,motocicleta > 125cc,conductor,adolescente,hombre,leve,440757.486,4473849.288,1,5
2021S000067,23:10:00,1.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,hombre,sin asistencia,440757.486,4473849.288,1,5
2021S000074,0:20:00,9.0,choque contra obstáculo fijo,despejado,turismo,conductor,adulto,hombre,sin asistencia,438816.259,4479505.327,1,6
2021S000074,0:20:00,9.0,choque contra obstáculo fijo,despejado,turismo,pasajero,niños,mujer,sin asistencia,438816.259,4479505.327,1,6
2021S000074,0:20:00,9.0,choque contra obstáculo fijo,despejado,turismo,pasajero,adulto,mujer,sin asistencia,438816.259,4479505.327,1,6
2021S000078,23:20:00,15.0,colisión fronto-lateral,nublado,turismo,conductor,joven,hombre,sin asistencia,445369.107,4475811.256,1,5
2021S000078,23:20:00,15.0,colisión fronto-lateral,nublado,turismo,conductor,adulto,hombre,sin asistencia,445369.107,4475811.256,1,5
2021S000078,23:20:00,15.0,colisión fronto-lateral,nublado,turismo,pasajero,joven,hombre,sin asistencia,445369.107,4475811.256,1,5
2021S000082,0:10:00,20.0,caída,despejado,motocicleta hasta 125cc,conductor,adulto,hombre,leve,447873.345,4476122.552,1,6
2021S000082,0:10:00,20.0,caída,despejado,motocicleta hasta 125cc,pasajero,adulto,mujer,leve,447873.345,4476122.552,1,6
2021S000083,0:30:00,11.0,alcance,despejado,turismo,conductor,adulto,hombre,sin asistencia,438665.836,4471508.359,1,6
2021S000083,0:30:00,11.0,alcance,despejado,turismo,conductor,joven,hombre,sin asistencia,438665.836,4471508.359,1,6
2021S000084,0:50:00,9.0,choque contra obstáculo fijo,despejado,turismo,conductor,adolescente,hombre,sin asistencia,439082.489,4475224.043,1,6
2021S000085,0:43:00,4.0,solo salida de la vía,despejado,turismo,conductor,joven,hombre,sin asistencia,441648.688,4476584.24,1,6
2021S000088,0:13:00,20.0,caída,despejado,motocicleta hasta 125cc,conductor,adulto,hombre,leve,447875.209,4476120.576,1,6
2021S000089,1:10:00,11.0,choque contra obstáculo fijo,despejado,turismo,conductor,adulto,hombre,sin asistencia,436007.776,4468497.323,1,6
2021S000090,0:05:00,20.0,colisión fronto-lateral,despejado,turismo,conductor,joven,hombre,leve,449336.762,4475706.019,1,6
2021S000090,0:05:00,20.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,hombre,leve,449336.762,4475706.019,1,6
2021S000090,0:05:00,20.0,colisión fronto-lateral,despejado,turismo,pasajero,adulto,mujer,leve,449336.762,4475706.019,1,6
2021S000090,0:05:00,20.0,colisión fronto-lateral,despejado,turismo,pasajero,niños,mujer,sin asistencia,449336.762,4475706.019,1,6
2021S000091,2:20:00,5.0,choque contra obstáculo fijo,despejado,turismo,conductor,joven,hombre,sin asistencia,441638.697,4477876.082,1,6
2021S000093,22:20:00,4.0,atropello a persona,despejado,turismo,conductor,joven,hombre,sin asistencia,443355.416,4475527.929,1,5
2021S000093,22:20:00,4.0,atropello a persona,despejado,turismo,peatón,niños,hombre,leve,443355.416,4475527.929,1,5
2021S000099,11:25:00,5.0,colisión fronto-lateral,despejado,turismo,conductor,mayor,hombre,sin asistencia,442224.232,4478114.625,1,5
2021S000099,11:25:00,5.0,colisión fronto-lateral,despejado,turismo,conductor,mayor,hombre,sin asistencia,442224.232,4478114.625,1,5
2021S000099,11:25:00,5.0,colisión fronto-lateral,despejado,turismo,pasajero,mayor,mujer,leve,442224.232,4478114.625,1,5
2021S000101,11:50:00,18.0,colisión múltiple,despejado,turismo,conductor,joven,hombre,sin asistencia,444736.523,4469443.253,1,5
2021S000101,11:50:00,18.0,colisión múltiple,despejado,turismo,conductor,adulto,mujer,sin asistencia,444736.523,4469443.253,1,5
2021S000101,11:50:00,18.0,colisión múltiple,despejado,turismo,conductor,adulto,hombre,sin asistencia,444736.523,4469443.253,1,5
2021S000101,11:50:00,18.0,colisión múltiple,despejado,turismo,pasajero,adolescente,mujer,sin asistencia,444736.523,4469443.253,1,5
2021S000104,9:45:00,20.0,alcance,despejado,turismo,conductor,adulto,hombre,sin asistencia,447822.792,4477299.71,1,6
2021S000104,9:45:00,20.0,alcance,despejado,turismo,conductor,adulto,mujer,leve,447822.792,4477299.71,1,6
2021S000105,11:50:00,15.0,caída,despejado,motocicleta hasta 125cc,conductor,adulto,hombre,leve,444214.757,4476365.27,1,6
2021S000106,22:15:00,17.0,atropello a persona,despejado,turismo,conductor,joven,hombre,sin asistencia,441648.613,4465830.987,1,5
2021S000106,22:15:00,17.0,atropello a persona,despejado,turismo,conductor,joven,hombre,sin asistencia,441648.613,4465830.987,1,5
2021S000106,22:15:00,17.0,atropello a persona,despejado,turismo,peatón,joven,hombre,leve,441648.613,4465830.987,1,5
2021S000107,19:30:00,7.0,caída,despejado,motocicleta hasta 125cc,conductor,adulto,hombre,leve,439932.01,4477593.38,1,5
2021S000108,15:15:00,5.0,caída,despejado,motocicleta > 125cc,conductor,adulto,hombre,leve,442910.948,4476721.285,1,6
2021S000108,15:15:00,5.0,caída,despejado,motocicleta > 125cc,pasajero,joven,mujer,leve,442910.948,4476721.285,1,6
2021S000110,20:58:00,18.0,alcance,despejado,ciclomotor,conductor,adulto,hombre,leve,447907.569,4469068.654,1,5
2021S000110,20:58:00,18.0,alcance,despejado,turismo,conductor,adulto,hombre,sin asistencia,447907.569,4469068.654,1,5
2021S000111,14:46:00,1.0,caída,despejado,ciclomotor,conductor,adulto,hombre,leve,439892.307,4473634.649,1,6
2021S000111,14:46:00,1.0,caída,despejado,furgoneta,conductor,adolescente,hombre,sin asistencia,439892.307,4473634.649,1,6
2021S000112,16:30:00,20.0,colisión fronto-lateral,despejado,turismo,conductor,joven,hombre,sin asistencia,449333.716,4475708.696,1,6
2021S000112,16:30:00,20.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,mujer,leve,449333.716,4475708.696,1,6
2021S000112,16:30:00,20.0,colisión fronto-lateral,despejado,turismo,pasajero,adolescente,mujer,sin asistencia,449333.716,4475708.696,1,6
2021S000112,16:30:00,20.0,colisión fronto-lateral,despejado,turismo,pasajero,joven,mujer,leve,449333.716,4475708.696,1,6
2021S000113,17:20:00,13.0,colisión fronto-lateral,despejado,motocicleta hasta 125cc,conductor,joven,mujer,sin asistencia,443123.951,4472016.28,1,6
2021S000113,17:20:00,13.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,hombre,sin asistencia,443123.951,4472016.28,1,6
2021S000114,17:00:00,17.0,colisión lateral,despejado,motocicleta > 125cc,conductor,adulto,hombre,leve,442653.858,4466697.434,1,6
2021S000114,17:00:00,17.0,colisión lateral,despejado,motocicleta > 125cc,pasajero,joven,mujer,leve,442653.858,4466697.434,1,6
2021S000114,17:00:00,17.0,colisión lateral,despejado,turismo,conductor,joven,hombre,sin asistencia,442653.858,4466697.434,1,6
2021S000115,19:10:00,3.0,alcance,despejado,turismo,conductor,adulto,hombre,sin asistencia,441412.364,4473870.613,1,6
2021S000115,19:10:00,3.0,alcance,despejado,turismo,conductor,joven,hombre,sin asistencia,441412.364,4473870.613,1,6
2021S000116,22:40:00,14.0,choque contra obstáculo fijo,despejado,turismo,conductor,adulto,hombre,sin asistencia,443773.145,4473278.367,1,4
2021S000117,19:05:00,17.0,colisión múltiple,despejado,turismo,conductor,joven,hombre,leve,438679.257,4465834.752,1,6
2021S000117,19:05:00,17.0,colisión múltiple,despejado,turismo,conductor,joven,mujer,leve,438679.257,4465834.752,1,6
2021S000117,19:05:00,17.0,colisión múltiple,despejado,turismo,conductor,adulto,hombre,leve,438679.257,4465834.752,1,6
2021S000118,19:45:00,4.0,colisión múltiple,despejado,motocicleta hasta 125cc,conductor,adulto,hombre,leve,442309.605,4475337.694,1,6
2021S000118,19:45:00,4.0,colisión múltiple,despejado,motocicleta hasta 125cc,conductor,adulto,hombre,sin asistencia,442309.605,4475337.694,1,6
2021S000118,19:45:00,4.0,colisión múltiple,despejado,motocicleta hasta 125cc,conductor,adulto,hombre,sin asistencia,442309.605,4475337.694,1,6
2021S000119,20:40:00,9.0,alcance,despejado,turismo,conductor,adulto,hombre,sin asistencia,439086.888,4474665.313,1,6
2021S000119,20:40:00,9.0,alcance,despejado,turismo,conductor,adulto,hombre,sin asistencia,439086.888,4474665.313,1,6
2021S000119,20:40:00,9.0,alcance,despejado,turismo,pasajero,adulto,hombre,sin asistencia,439086.888,4474665.313,1,6
2021S000119,20:40:00,9.0,alcance,despejado,turismo,pasajero,adulto,mujer,sin asistencia,439086.888,4474665.313,1,6
2021S000119,20:40:00,9.0,alcance,despejado,turismo,pasajero,adulto,mujer,sin asistencia,439086.888,4474665.313,1,6
2021S000121,0:40:00,8.0,colisión múltiple,despejado,turismo,conductor,joven,hombre,sin asistencia,438543.536,4480828.932,1,6
2021S000121,0:40:00,8.0,colisión múltiple,despejado,turismo,conductor,joven,hombre,sin asistencia,438543.536,4480828.932,1,6
2021S000121,0:40:00,8.0,colisión múltiple,despejado,turismo,conductor,joven,hombre,sin asistencia,438543.536,4480828.932,1,6
2021S000122,21:50:00,13.0,atropello a persona,despejado,motocicleta hasta 125cc,conductor,joven,hombre,leve,443251.099,4472227.398,1,6
2021S000122,21:50:00,13.0,atropello a persona,despejado,motocicleta hasta 125cc,peatón,adulto,hombre,leve,443251.099,4472227.398,1,6
2021S000123,22:35:00,16.0,colisión fronto-lateral,despejado,turismo,conductor,adolescente,hombre,sin asistencia,445953.225,4479308.884,1,6
2021S000123,22:35:00,16.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,hombre,sin asistencia,445953.225,4479308.884,1,6
2021S000123,22:35:00,16.0,colisión fronto-lateral,despejado,turismo,pasajero,adolescente,hombre,sin asistencia,445953.225,4479308.884,1,6
2021S000123,22:35:00,16.0,colisión fronto-lateral,despejado,turismo,pasajero,adolescente,hombre,sin asistencia,445953.225,4479308.884,1,6
2021S000126,1:30:00,4.0,choque contra obstáculo fijo,despejado,turismo,conductor,joven,mujer,sin asistencia,441884.639,4475027.619,1,0
2021S000127,1:27:00,7.0,choque contra obstáculo fijo,despejado,turismo,conductor,joven,hombre,sin asistencia,441373.629,4476220.788,1,0
2021S000127,1:27:00,7.0,choque contra obstáculo fijo,despejado,turismo,conductor,adulto,hombre,sin asistencia,441373.629,4476220.788,1,0
2021S000129,0:15:00,1.0,colisión lateral,despejado,turismo,conductor,joven,hombre,sin asistencia,441170.149,4474518.928,1,0
2021S000129,0:15:00,1.0,colisión lateral,despejado,turismo,conductor,adulto,mujer,sin asistencia,441170.149,4474518.928,1,0
2021S000129,0:15:00,1.0,colisión lateral,despejado,turismo,pasajero,adolescente,hombre,sin asistencia,441170.149,4474518.928,1,0
2021S000129,0:15:00,1.0,colisión lateral,despejado,turismo,pasajero,adolescente,hombre,sin asistencia,441170.149,4474518.928,1,0
2021S000129,0:15:00,1.0,colisión lateral,despejado,turismo,pasajero,adolescente,mujer,sin asistencia,441170.149,4474518.928,1,0
2021S000131,13:00:00,2.0,colisión fronto-lateral,despejado,motocicleta > 125cc,conductor,adulto,hombre,sin asistencia,439599.054,4473062.846,1,6
2021S000131,13:00:00,2.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,hombre,sin asistencia,439599.054,4473062.846,1,6
2021S000132,7:54:00,20.0,colisión frontal,despejado,turismo,conductor,adulto,hombre,leve,454178.455,4477587.509,1,0
2021S000132,7:54:00,20.0,colisión frontal,despejado,turismo,conductor,adulto,mujer,leve,454178.455,4477587.509,1,0
2021S000133,13:30:00,8.0,colisión fronto-lateral,despejado,ciclomotor,conductor,adulto,hombre,sin asistencia,439022.541,4480855.448,1,4
2021S000133,13:30:00,8.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,hombre,sin asistencia,439022.541,4480855.448,1,4
2021S000134,14:27:00,13.0,alcance,despejado,todo terreno,conductor,adulto,hombre,sin asistencia,443242.972,4472226.633,1,6
2021S000134,14:27:00,13.0,alcance,despejado,turismo,conductor,adulto,hombre,sin asistencia,443242.972,4472226.633,1,6
2021S000134,14:27:00,13.0,alcance,despejado,turismo,conductor,adulto,hombre,leve,443242.972,4472226.633,1,6
2021S000136,10:03:00,13.0,colisión múltiple,despejado,camión rígido,conductor,adulto,hombre,sin asistencia,445979.993,4470770.345,1,0
2021S000136,10:03:00,13.0,colisión múltiple,despejado,todo terreno,conductor,joven,mujer,sin asistencia,445979.993,4470770.345,1,0
2021S000136,10:03:00,13.0,colisión múltiple,despejado,turismo,conductor,joven,hombre,sin asistencia,445979.993,4470770.345,1,0
2021S000137,12:55:00,5.0,colisión lateral,despejado,maquinaria de obras,conductor,adulto,hombre,sin asistencia,443377.855,4478903.621,1,6
2021S000137,12:55:00,5.0,colisión lateral,despejado,turismo,conductor,adulto,mujer,sin asistencia,443377.855,4478903.621,1,6
2021S000138,12:45:00,10.0,choque contra obstáculo fijo,despejado,turismo,conductor,joven,hombre,sin asistencia,434188.538,4470454.313,1,5
2021S000138,12:45:00,10.0,choque contra obstáculo fijo,despejado,turismo,conductor,joven,hombre,sin asistencia,434188.538,4470454.313,1,5
2021S000138,12:45:00,10.0,choque contra obstáculo fijo,despejado,turismo,conductor,joven,hombre,sin asistencia,434188.538,4470454.313,1,5
2021S000139,2:48:00,21.0,choque contra obstáculo fijo,despejado,tractocamión,conductor,adulto,hombre,sin asistencia,451424.807,4480137.211,1,0
2021S000141,10:50:00,8.0,colisión fronto-lateral,despejado,motocicleta hasta 125cc,conductor,adulto,mujer,leve,440875.331,4480659.574,1,6
2021S000141,10:50:00,8.0,colisión fronto-lateral,despejado,turismo,conductor,adulto,mujer,sin asistencia,440875.331,4480659.574,1,6
2021S000142,11:30:00,20.0,caída,despejado,bicicleta,conductor,adolescente,hombre,sin asistencia,448606.811,4476216.426,1,0
2021S000142,11:30:00,20.0,caída,despejado,bicicleta,conductor,adolescente,hombre,sin asistencia,448606.811,4476216.426,1,0
2021S000142,11:30:00,20.0,caída,despejado,bicicleta,conductor,joven,hombre,sin asistencia,448606.811,4476216.426,1,0
2021S000142,11:30:00,20.0,caída,despejado,bicicleta,conductor,adulto,hombre,leve,448606.811,4476216.426,1,0
2021S000144,13:00:00,8.0,colisión fronto-lateral,despejado,camión rígido,conductor,adulto,hombre,sin asistencia,438852.39,4481367.092,1,6
2021S000144,13:00:00,8.0,colisión fronto-lateral,despejado,camión rígido,pasajero,adulto,hombre,sin asistencia,438852.39,4481367.092,1,6
2021S000144,13:00:00,8.0,colisión fronto-lateral,despejado,todo terreno,conductor,adulto,hombre,sin asistencia,438852.39,4481367.092,1,6
2021S000145,10:35:00,17.0,alcance,despejado,motocicleta hasta 125cc,conductor,adulto,hombre,leve,441608.052,4467426.054,1,0
2021S000145,10:35:00,17.0,alcance,despejado,turismo,conductor,adulto,mujer,sin asistencia,441608.052,4467426.054,1,0
2021S000145,10:35:00,17.0,alcance,despejado,turismo,peatón,adulto,mujer,leve,441608.052,4467426.054,1,0
2021S000147,12:50:00,8.0,alcance,despejado,motocicleta hasta 125cc,conductor,adulto,mujer,leve,440404.025,4480472.461,1,0
2021S000147,12:50:00,8.0,alcance,despejado,turismo,conductor,adulto,mujer,sin asistencia,440404.025,4480472.461,1,0
2021S000148,12:55:00,1.0,colisión lateral,despejado,camión rígido,conductor,adulto,hombre,sin asistencia,440039.94,4474713.207,1,0
2021S000148,12:55:00,1.0,colisión lateral,despejado,motocicleta hasta 125cc,conductor,joven,mujer,sin asistencia,440039.94,4474713.207,1,0
2021S000149,12:55:00,9.0,choque contra obstáculo fijo,despejado,turismo,conductor,adulto,mujer,sin asistencia,434471.502,4477974.336,1,0
2021S000150,14:45:00,14.0,alcance,despejado,motocicleta > 125cc,conductor,adulto,hombre,leve,445762.347,4471788.675,1,0
2021S000150,14:45:00,14.0,alcance,despejado,turismo,conductor,adulto,mujer,sin asistencia,445762.347,4471788.675,1,0
2021S000151,14:15:00,5.0,colisión lateral,despejado,turismo,conductor,joven,hombre,leve,441903.263,4479286.152,1,6
2021S000151,14:15:00,5.0,colisión lateral,despejado,turismo,conductor,adulto,hombre,leve,441903.263,4479286.152,1,6
2021S000151,14:15:00,5.0,colisión lateral,despejado,turismo,pasajero,niños,mujer,leve,441903.263,4479286.152,1,6
